date,WHO_region_name,threshold_val,threshold_type,need_standardize,final_contrbX,weight_type,risk_type
2020-09-05,America,0,wp,TRUE,0.1972701540271424,mixed,risk_contribution
2020-09-05,Asia,0,wp,TRUE,0.4101066278137992,mixed,risk_contribution
2020-09-05,Eastern Mediterranean,0,wp,TRUE,0.07908056426108093,mixed,risk_contribution
2020-09-05,Europe,0,wp,TRUE,0.20037329845240337,mixed,risk_contribution
2020-09-06,Africa,0,wp,TRUE,0.10150079322747968,mixed,risk_contribution
2020-09-06,America,0,wp,TRUE,0.2247446886924602,mixed,risk_contribution
2020-09-06,Asia,0,wp,TRUE,0.4101624307542854,mixed,risk_contribution
2020-09-06,Eastern Mediterranean,0,wp,TRUE,0.07351023561794184,mixed,risk_contribution
2020-09-06,Europe,0,wp,TRUE,0.19008185170783287,mixed,risk_contribution
2020-09-07,Africa,0,wp,TRUE,0.08828752619130985,mixed,risk_contribution
2020-09-07,America,0,wp,TRUE,0.2341528735112347,mixed,risk_contribution
2020-09-07,Asia,0,wp,TRUE,0.4143885552143787,mixed,risk_contribution
2020-09-07,Eastern Mediterranean,0,wp,TRUE,0.0748222011621794,mixed,risk_contribution
2020-09-07,Europe,0,wp,TRUE,0.18834884392089737,mixed,risk_contribution
2020-09-08,Africa,0,wp,TRUE,0.10245547678946025,mixed,risk_contribution
2020-09-08,America,0,wp,TRUE,0.1945939503151112,mixed,risk_contribution
2020-09-08,Asia,0,wp,TRUE,0.42491207957159616,mixed,risk_contribution
2020-09-08,Eastern Mediterranean,0,wp,TRUE,0.08599818541152403,mixed,risk_contribution
2020-09-08,Europe,0,wp,TRUE,0.19204030791230803,mixed,risk_contribution
2020-09-09,Africa,0,wp,TRUE,0.1025567393897931,mixed,risk_contribution
2020-09-09,America,0,wp,TRUE,0.1945421759431666,mixed,risk_contribution
2020-09-09,Asia,0,wp,TRUE,0.4285819150939755,mixed,risk_contribution
2020-09-09,Eastern Mediterranean,0,wp,TRUE,0.07688795074856257,mixed,risk_contribution
2020-09-09,Europe,0,wp,TRUE,0.1974312188245026,mixed,risk_contribution
2020-09-10,Africa,0,wp,TRUE,0.1051227567474578,mixed,risk_contribution
2020-09-10,America,0,wp,TRUE,0.19705188825573763,mixed,risk_contribution
2020-09-10,Asia,0,wp,TRUE,0.4219291661349368,mixed,risk_contribution
2020-09-10,Eastern Mediterranean,0,wp,TRUE,0.07996447697379458,mixed,risk_contribution
2020-09-10,Europe,0,wp,TRUE,0.1959317118880731,mixed,risk_contribution
2020-09-11,Africa,0,wp,TRUE,0.11361986519735923,mixed,risk_contribution
2020-09-11,America,0,wp,TRUE,0.19302008555836642,mixed,risk_contribution
2020-09-11,Asia,0,wp,TRUE,0.4208678081535201,mixed,risk_contribution
2020-09-11,Eastern Mediterranean,0,wp,TRUE,0.07773911188840324,mixed,risk_contribution
2020-09-11,Europe,0,wp,TRUE,0.19475312920235127,mixed,risk_contribution
2020-09-12,Africa,0,wp,TRUE,0.11748115802648228,mixed,risk_contribution
2020-09-12,America,0,wp,TRUE,0.1817197424622676,mixed,risk_contribution
2020-09-12,Asia,0,wp,TRUE,0.42204267848642374,mixed,risk_contribution
2020-09-12,Eastern Mediterranean,0,wp,TRUE,0.080359634778296607,mixed,risk_contribution
2020-09-12,Europe,0,wp,TRUE,0.1983967862465302,mixed,risk_contribution
2020-09-13,Africa,0,wp,TRUE,0.12201341911409558,mixed,risk_contribution
2020-09-13,America,0,wp,TRUE,0.18284361440568897,mixed,risk_contribution
2020-09-13,Asia,0,wp,TRUE,0.42575050020079475,mixed,risk_contribution
2020-09-13,Eastern Mediterranean,0,wp,TRUE,0.07649527507964558,mixed,risk_contribution
2020-09-13,Europe,0,wp,TRUE,0.192897191199775,mixed,risk_contribution
2020-09-14,Africa,0,wp,TRUE,0.10673928572154373,mixed,risk_contribution
2020-09-14,America,0,wp,TRUE,0.17489559910894256,mixed,risk_contribution
2020-09-14,Asia,0,wp,TRUE,0.4318848093487599,mixed,risk_contribution
2020-09-14,Eastern Mediterranean,0,wp,TRUE,0.09480734499002119,mixed,risk_contribution
2020-09-14,Europe,0,wp,TRUE,0.19167296083073398,mixed,risk_contribution
2020-09-15,Africa,0,wp,TRUE,0.10618567362949512,mixed,risk_contribution
2020-09-15,America,0,wp,TRUE,0.17286793225265953,mixed,risk_contribution
2020-09-15,Asia,0,wp,TRUE,0.4332957236827009,mixed,risk_contribution
2020-09-15,Eastern Mediterranean,0,wp,TRUE,0.09587002697560425,mixed,risk_contribution
