date,num_edge,edge_density,CC_global,assortativity,threshold_val,threshold_type
2020-03-29,1037,0.07854275543437098,0.39959531119173874,0.35134478438822137,0.5,r
2020-03-30,1035,0.07839127471029311,0.39479269845761994,0.37811173228292594,0.5,r
2020-03-31,974,0.07377111262591836,0.391304347826087,0.31042150667767776,0.5,r
2020-04-01,886,0.06710596076649246,0.38899226324551955,0.29123337176084674,0.5,r
2020-04-02,934,0.06987879694747869,0.39133879059941906,0.3142450593739238,0.5,r
2020-04-03,982,0.07346999850366602,0.3864971433169711,0.30863532193033477,0.5,r
2020-04-04,937,0.07010324704474039,0.3640401527938172,0.2821087024458419,0.5,r
2020-04-05,890,0.06658686218764027,0.3585680751173709,0.2734311625725843,0.5,r
2020-04-06,882,0.06598832859494239,0.36848893739458277,0.27595382972067756,0.5,r
2020-04-07,930,0.06957953015112973,0.3725612472160356,0.21698165277818082,0.5,r
2020-04-08,912,0.06823282956755948,0.370216306156406,0.22225021333224593,0.5,r
2020-04-09,887,0.06636241209037858,0.35594202898550725,0.21379711982076013,0.5,r
2020-04-10,874,0.0653897950022445,0.35633213859020313,0.27001482216011075,0.5,r
2020-04-11,906,0.06778392937303607,0.3595495072735805,0.23112724933237724,0.5,r
2020-04-12,884,0.06613796199311686,0.36177507836990597,0.24097058960523818,0.5,r
2020-04-13,829,0.06202304354331887,0.35595461055414784,0.3039077772911921,0.5,r
2020-04-14,818,0.06120005985335927,0.3583106267029973,0.3284506556483073,0.5,r
2020-04-15,826,0.061798593446057155,0.364019520851819,0.32963594645333133,0.5,r
2020-04-16,853,0.06381864432141254,0.3757026858213616,0.3385479099610095,0.5,r
2020-04-17,837,0.06418219461697723,0.39732189559577363,0.30939519047314107,0.5,r
2020-04-18,845,0.0656055900621118,0.38003484677667315,0.2802050832704424,0.5,r
2020-04-19,811,0.06296583850931678,0.3942470389170897,0.25028491771489214,0.5,r
2020-04-20,782,0.06147798742138365,0.34887218045112783,0.19320331561391282,0.5,r
2020-04-21,775,0.06169890932250617,0.3471325484238511,0.2909891590818498,0.5,r
2020-04-22,769,0.06122124034710612,0.3461242299794661,0.3240358481835095,0.5,r
2020-04-23,710,0.057244215109247765,0.34418116376724656,0.33570732357551153,0.5,r
2020-04-24,679,0.054744819801660884,0.33388375165125495,0.3014408791949369,0.5,r
2020-04-25,706,0.05765147803364364,0.3346326836581709,0.343598658182288,0.5,r
2020-04-26,674,0.056472559698366155,0.3318019397651863,0.2332176948343164,0.5,r
2020-04-27,711,0.058808933002481384,0.344879745878082,0.2341570580362213,0.5,r
2020-04-28,687,0.057561793045664014,0.3427729579309216,0.2374903540816528,0.5,r
2020-04-29,709,0.0586435070306038,0.33992640294388227,0.23198597564066423,0.5,r
2020-04-30,719,0.05871304915890903,0.3328260538730787,0.17088293103452368,0.5,r
2020-05-01,732,0.05977462028417442,0.32538056206088994,0.05345569257241055,0.5,r
2020-05-02,744,0.06075453209211171,0.32680639823496965,0.2083303128527492,0.5,r
2020-05-03,748,0.06030799000241877,0.3148614609571788,0.17849723624445188,0.5,r
2020-05-04,710,0.057978115302956074,0.31789602821653123,0.0928169770441999,0.5,r
2020-05-05,698,0.05773366418527709,0.3106241067174845,0.1440083810509462,0.5,r
2020-05-06,701,0.057243181447003105,0.3007036747458952,0.22759898312794308,0.5,r
2020-05-07,713,0.05974025974025973,0.3198429477499245,0.23762767180440586,0.5,r
2020-05-08,675,0.057295645530939646,0.2951967978652435,0.18002254298266857,0.5,r
2020-05-09,673,0.057125880655292414,0.33311464654748235,0.27578247099649,0.5,r
2020-05-10,689,0.05772936740678676,0.32936010037641156,0.21881615484584083,0.5,r
2020-05-11,632,0.053645700704524235,0.3113580711998493,0.2287439507931651,0.5,r
2020-05-12,643,0.0560299756012548,0.31780773945018387,0.33892041190539357,0.5,r
2020-05-13,604,0.052631578947368425,0.3159478435305918,0.29992865851898387,0.5,r
2020-05-14,602,0.052457302195887075,0.3129603822416882,0.24522286374037958,0.5,r
2020-05-15,619,0.05393865458347857,0.33534743202416917,0.3618141077251177,0.5,r
2020-05-16,600,0.05228302544440572,0.34309961608405737,0.317123543028152,0.5,r
2020-05-17,608,0.052980132450331126,0.3396115361977634,0.34284968305424757,0.5,r
2020-05-18,618,0.05385151620773789,0.3336480362537764,0.35560102959293144,0.5,r
2020-05-19,608,0.05440715883668904,0.32272817657586,0.2315566062793628,0.5,r
2020-05-20,622,0.057179628608200035,0.32293647774819323,0.2795633378898254,0.5,r
