ref_date,stat,value,type
2020-06-22,assortativity,0.3815787861442681,actual
2020-06-23,num_edge,636,actual
2020-06-23,edge_density,0.056158940397351,actual
2020-06-23,CC_global,0.33935708079930493,actual
2020-06-23,assortativity,0.4200418661971354,actual
2020-06-24,num_edge,605,actual
2020-06-24,edge_density,0.05413870246085011,actual
2020-06-24,CC_global,0.35688339992735196,actual
2020-06-24,assortativity,0.4340189869172796,actual
2020-06-25,num_edge,622,actual
2020-06-25,edge_density,0.05492273730684327,actual
2020-06-25,CC_global,0.38489394723228143,actual
2020-06-25,assortativity,0.46911484974818346,actual
2020-06-26,num_edge,618,actual
2020-06-26,edge_density,0.05456953642384106,actual
2020-06-26,CC_global,0.3719849919599786,actual
2020-06-26,assortativity,0.41961599944154454,actual
2020-06-27,num_edge,608,actual
2020-06-27,edge_density,0.052980132450331126,actual
2020-06-27,CC_global,0.3804632050803138,actual
2020-06-27,assortativity,0.4401669818335544,actual
2020-06-28,num_edge,621,actual
2020-06-28,edge_density,0.053405572755417956,actual
2020-06-28,CC_global,0.3776605421138803,actual
2020-06-28,assortativity,0.3706519739665913,actual
2020-06-29,num_edge,650,actual
2020-06-29,edge_density,0.05589955280357757,actual
2020-06-29,CC_global,0.3632332878581173,actual
2020-06-29,assortativity,0.31147805511744736,actual
2020-06-30,num_edge,661,actual
2020-06-30,edge_density,0.057598466364586966,actual
2020-06-30,CC_global,0.358237857027594,actual
2020-06-30,assortativity,0.3393744805161081,actual
2020-07-01,num_edge,636,actual
2020-07-01,edge_density,0.05542000697107006,actual
2020-07-01,CC_global,0.34898499558693735,actual
2020-07-01,assortativity,0.30242270299424306,actual
2020-07-02,num_edge,648,actual
2020-07-02,edge_density,0.05721854304635761,actual
2020-07-02,CC_global,0.35909611920746687,actual
2020-07-02,assortativity,0.3299466987894083,actual
2020-07-03,num_edge,683,actual
2020-07-03,edge_density,0.058737530099759204,actual
2020-07-03,CC_global,0.3621646623496762,actual
2020-07-03,assortativity,0.29806800725294597,actual
2020-07-04,num_edge,690,actual
2020-07-04,edge_density,0.060125479261066574,actual
2020-07-04,CC_global,0.35680473372781063,actual
2020-07-04,assortativity,0.24473384766099707,actual
2020-07-05,num_edge,654,actual
2020-07-05,edge_density,0.056988497734402226,actual
2020-07-05,CC_global,0.3611111111111111,actual
2020-07-05,assortativity,0.23391227693993866,actual
2020-07-06,num_edge,692,actual
2020-07-06,edge_density,0.059511523907808735,actual
2020-07-06,CC_global,0.32424899349643854,actual
2020-07-06,assortativity,0.22423678693895646,actual
2020-07-07,num_edge,716,actual
2020-07-07,edge_density,0.06077582548170784,actual
2020-07-07,CC_global,0.33089500860585197,actual
2020-07-07,assortativity,0.1864582651867042,actual
2020-07-08,num_edge,721,actual
2020-07-08,edge_density,0.06041055718475073,actual
2020-07-08,CC_global,0.3424825891028267,actual
2020-07-08,assortativity,0.24943622765199247,actual
2020-07-09,num_edge,739,actual
2020-07-09,edge_density,0.06034623550547117,actual
2020-07-09,CC_global,0.3479095270733379,actual
2020-07-09,assortativity,0.18146584034593977,actual
2020-07-10,num_edge,741,actual
2020-07-10,edge_density,0.06050955414012739,actual
